S	0mV	10mV	30mV	50mV	70mV	90mV	110mV
-0.02	0	0	0	0	0	0	0
-0.0196	0	0	0	0	0	0	0
-0.0192	0	0	0	0	0	0	0
-0.0188	0	0	0	0	0	0	0
-0.0184	0	0	0	0	0	0	0
-0.018	0	0	0	0	0	0	0
-0.0176	0	0	0	0	0	0	0
-0.0172	0	0	0	0	0	0	0
-0.0168	0	0	0	0	0	0	0
-0.0164	0	0	0	0	0	0	0
-0.016	0	0	0	0	0	0	0
-0.0156	0	0	0	0	0	0	0
-0.0152	0	0	0	0	0	0	0
-0.0148	0	0	0	0	0	0	0
-0.0144	0	0	0	0	0	0	0
-0.014	0	0	0	0	0	0	0
-0.0136	0	0	0	0	0	0	0
-0.0132	0	0	0	0	0	0	0
-0.0128	0	0	0	0	0	0	0
-0.0124	0	0	0	0	0	0	0
-0.012	0	0	0	0	0	0	0
-0.0116	0	0	0	0	0	0	0
-0.0112	0	0	0	0	0	0	0
-0.0108	0	0	0	0	0	0	0
-0.0104	0	0	0	0	0	0	0
-0.01	0	0	0	0	0	0	0
-0.0096	0	0	0	0	0	0	0
-0.0092	0	0	0	0	0	0	0
-0.0088	0	0	0	0	0	0	0
-0.0084	0	0	0	0	0	0	0
-0.008	0	0	0	0	0	0	0
-0.0076	0	0	0	0	0	0	0
-0.0072	0	0	0	0	0	0	0
-0.0068	0	0	0	0	0	0	0
-0.0064	0	0	0	0	0	0	0
-0.006	0	0	0	0	0	0	0
-0.0056	0	0	0	0	0	0	0
-0.0052	0	0	0	0	0	0	0
-0.0048	0	0	0	0	0	0	0
-0.0044	0	0	0	0	0	0	0
-0.004	0	0	0	0	0	0	0
-0.0036	0	0	0	0	0	0	0
-0.0032	0	0	0	0	0	0	0
-0.0028	0	0	0	0	0	0	0
-0.0024	0	0	0	0	0	0	0
-0.002	0	0	0	0	0	0	0
-0.0016	0	0	0	0	0	0	0
-0.0012	0	0	0	0	0	0	0
-0.000799999999999997	0	0	0	0	0	0	0
-0.000399999999999999	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0.000400000000000002	0	1.20685714285715e-11	2.97404081632655e-11	4.37485714285717e-11	6.93942857142861e-11	9.06349714285719e-11	1.61417142857144e-10
0.000800000000000001	0	2.41371428571429e-11	5.94808163265307e-11	8.74971428571429e-11	1.38788571428572e-10	1.81269942857143e-10	3.22834285714286e-10
0.0012	0	3.62057142857144e-11	8.92212244897961e-11	1.31245714285715e-10	2.08182857142858e-10	2.71904914285715e-10	4.8425142857143e-10
0.0016	0	4.69942857142857e-11	1.18961632653061e-10	1.75314285714286e-10	2.74377142857143e-10	3.62539885714286e-10	6.10895238095238e-10
0.002	0	5.30285714285714e-11	1.36936054421769e-10	2.20571428571429e-10	3.28685714285714e-10	4.53174857142857e-10	6.08380952380952e-10
0.0024	0	5.77828571428571e-11	1.45656888888889e-10	2.52388571428571e-10	3.41097142857143e-10	4.77838961038961e-10	5.91542857142857e-10
0.0028	0	5.97942857142857e-11	1.48070603174603e-10	2.55405714285714e-10	3.49127032967033e-10	4.7921038961039e-10	5.73942857142857e-10
0.0032	0	6.18057142857143e-11	1.50484317460317e-10	2.57427301587302e-10	3.51215824175824e-10	4.6976e-10	5.56342857142857e-10
0.0036	0	6.38171428571428e-11	1.52898031746032e-10	2.58097777777778e-10	3.53304615384615e-10	4.45622857142857e-10	5.38742857142857e-10
0.004	0	6.58285714285714e-11	1.55311746031746e-10	2.56412698412698e-10	3.49485714285714e-10	4.23085714285714e-10	5.21142857142857e-10
0.0044	0	6.75009523809524e-11	1.54990476190476e-10	2.5264126984127e-10	3.40434285714286e-10	4.01965714285714e-10	5.03542857142857e-10
0.0048	0	6.91352380952381e-11	1.54361904761905e-10	2.48853333333333e-10	3.31382857142857e-10	3.84685714285714e-10	4.88502857142857e-10
0.0052	0	7.07695238095238e-11	1.53733333333333e-10	2.41813333333333e-10	3.22331428571429e-10	3.696e-10	4.74925714285714e-10
0.0056	0	7.24038095238095e-11	1.53104761904762e-10	2.3328e-10	3.088e-10	3.59554285714286e-10	4.61348571428571e-10
0.006	0	7.40380952380953e-11	1.5247619047619e-10	2.24228571428571e-10	2.93714285714286e-10	3.51257142857143e-10	4.47771428571429e-10
0.0064	0	7.42857142857143e-11	1.50034285714286e-10	2.15177142857143e-10	2.78628571428571e-10	3.4296e-10	4.30354285714286e-10
0.0068	0	7.42857142857143e-11	1.47268571428571e-10	2.06125714285714e-10	2.63542857142857e-10	3.34662857142857e-10	4.12251428571428e-10
0.0072	0	7.42857142857143e-11	1.44502857142857e-10	2.01874285714286e-10	2.59977142857143e-10	3.26365714285714e-10	4.03556571428571e-10
0.0076	0	7.42857142857143e-11	1.41737142857143e-10	1.97851428571429e-10	2.5696e-10	3.18068571428571e-10	3.95309714285714e-10
0.008	0	7.42857142857143e-11	1.38971428571429e-10	1.93828571428571e-10	2.53942857142857e-10	3.09771428571428e-10	3.87062857142857e-10
0.0084	0	7.3611580952381e-11	1.36968126984127e-10	1.90897168253968e-10	2.50834285714286e-10	3.0248e-10	3.82892901587302e-10
0.0088	0	7.2766780952381e-11	1.35157841269841e-10	1.88242082539683e-10	2.47268571428571e-10	3.00217142857143e-10	3.79755073015873e-10
0.0092	0	7.1921980952381e-11	1.33347555555556e-10	1.85586996825397e-10	2.43702857142857e-10	2.97954285714286e-10	3.76617244444444e-10
0.0096	0	7.1077180952381e-11	1.3153726984127e-10	1.82931911111111e-10	2.40137142857143e-10	2.95691428571429e-10	3.73479415873016e-10
0.01	0	7.0232380952381e-11	1.29726984126984e-10	1.80276825396825e-10	2.36571428571429e-10	2.93428571428571e-10	3.70341587301587e-10
0.0104	0	6.95712169312169e-11	1.28213756613757e-10	1.77832380952381e-10	2.33502857142857e-10	2.92666373626374e-10	3.6807873015873e-10
0.0108	0	6.90683597883598e-11	1.26956613756614e-10	1.75569523809524e-10	2.30862857142857e-10	2.9197010989011e-10	3.66570158730159e-10
0.0112	0	6.85655026455026e-11	1.25699470899471e-10	1.73306666666667e-10	2.28222857142857e-10	2.91273846153846e-10	3.65061587301587e-10
